new_id,max_date,defaut,Mont_positive_tot_sur_3M,Mont_negatif_tot_sur_3M,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,SOLDE
22444-7,2018-03-07 23:00:00,0,0.0,-100.0,0,0.0,999,-19101.7
22444-6,2016-02-07 23:00:00,0,0.0,0.0,0,0.0,999,1268.31
22444-5,2015-09-24 22:00:00,0,1800.0,-1000.0,0,0.0,999,-21837.549999999985
22444-4,2014-06-29 22:00:00,0,5250.0,-4975.0,0,0.0,999,-19239.339999999993
22444-3,2013-03-11 23:00:00,0,1500.0,0.0,0,0.0,999,-21944.33999999998
22444-2,2012-01-05 23:00:00,0,0.0,0.0,0,0.0,999,1268.31
22444-1,2010-08-02 22:00:00,0,0.0,0.0,0,0.0,999,1268.31
22465-1,2023-02-28 23:00:00,0,39438.28,-25011.53,0,0.0,999,16101.89
22466-1,2023-02-28 23:00:00,0,18492.129999999997,-11129.71,0,0.0,999,-6537.279999999999
22468-1,2023-03-01 23:00:00,0,25127.39,-21191.899999999998,0,0.0,999,-16205.159999999994
22470-1,2023-02-14 23:00:00,0,16102.0,-13274.15,0,0.0,999,3080.289999999999
22475-1,2023-11-09 23:00:00,0,10719.960000000001,-8582.710000000001,0,0.0,999,-61057.02999999999
22480-2,2024-03-04 23:00:00,0,853.5100000000001,-718.0,0,0.0,999,-273.71
22480-1,2022-12-06 23:00:00,0,440.0,-424.97,0,0.0,999,-792.5399999999998
22485-1,2023-10-27 22:00:00,0,808.48,-490.18000000000006,0,0.0,999,-118.09
22503-1,2022-12-05 23:00:00,0,12870.0,-13593.769999999999,0,0.0,999,-6932.200000000003
22504-1,2024-02-28 23:00:00,0,4466.9,-1895.7000000000003,0,0.0,999,-5283.92
22505-1,2022-12-11 23:00:00,0,30472.86,-20036.0,0,0.0,999,-26298.760000000002
22526-1,2023-05-15 22:00:00,0,654.0899999999999,-253.19,0,0.0,999,878.6799999999998
22541-4,2022-10-03 22:00:00,0,0.0,0.0,0,0.0,999,0.0
22541-3,2021-05-06 22:00:00,0,0.0,0.0,0,0.0,999,0.0
22542-4,2022-10-03 22:00:00,0,0.0,0.0,0,0.0,999,0.0
22542-3,2021-05-06 22:00:00,0,0.0,0.0,0,0.0,999,0.0
22546-5,2023-08-24 22:00:00,0,15103.0,-15033.75,0,0.0,999,-1661.7799999999932
22546-4,2022-05-29 22:00:00,0,63547.0,-63155.96000000001,0,0.0,999,1475.3000000000068
22546-3,2021-03-04 23:00:00,0,11907.029999999999,-9533.08,0,0.0,999,825.8500000000033
22546-2,2019-12-05 23:00:00,0,26150.0,-18229.430000000004,0,0.0,999,7947.680000000001
22546-1,2018-09-13 22:00:00,0,29840.0,-29504.06,0,0.0,999,2148.0200000000236
22550-2,2024-02-04 23:00:00,0,27050.0,-8428.869999999999,0,0.0,999,-64138.01
22550-1,2022-11-07 23:00:00,0,12600.0,-7571.45,0,0.0,999,-115387.71
22598-2,2023-01-11 23:00:00,0,9078.81,-6893.63,0,0.0,999,-10274.890000000003
22598-1,2021-10-17 22:00:00,0,7210.299999999999,-5560.309999999999,0,0.0,999,-20662.940000000006
22616-1,2022-12-04 23:00:00,0,29002.0,-29080.85,0,0.0,999,133.8999999999987
22618-1,2022-12-11 23:00:00,0,18093.489999999998,-17503.999999999996,0,0.0,999,-2522.659999999999
22631-1,2022-11-23 23:00:00,0,0.0,0.0,0,0.0,999,7.84
22635-1,2022-12-11 23:00:00,0,8911.57,-8089.099999999999,0,0.0,999,-3547.5099999999998
22636-1,2022-12-12 23:00:00,0,5759.32,-5373.150000000001,0,0.0,999,-2976.0
22649-1,2022-11-28 23:00:00,0,207277.46999999997,-209895.84999999998,0,0.0,999,4606.1699999999955
